nWord_title,nStanza,q3_nSyll_lg,MADmed_nSyll_lg,rstd_nSyll_lg,rhyme_abcdb,rhyme_abca,rhyme_aaaa,q1_nWord_l,MADmed_nSyll_l,SCONJ,DET,ADP,med_lenWord,PUNCT,range_lenAll,class_label
3,5,28.0,0.0,0.0,0,0,0,2.0,1.0,0,10,2,5.0,16.0,3.0,1
3,4,26.0,0.0,0.0,0,0,0,5.0,0.0,4,9,0,3.0,21.0,2.0,1
4,5,26.0,0.0,0.0,0,0,0,4.0,0.0,3,4,0,5.0,18.0,1.0,1
4,10,20.0,0.0,0.0,0,10,0,2.0,0.0,0,6,0,5.0,65.0,1.0,1
3,4,27.0,0.5,0.022,0,0,0,4.75,0.5,0,9,0,5.0,15.0,1.0,1
3,2,54.25,17.5,0.544,0,1,0,3.0,0.0,0,1,0,5.0,22.0,3.0,1
3,4,29.0,0.0,0.0,0,0,0,2.5,0.0,0,3,0,5.5,20.0,1.0,1
3,4,34.0,0.0,0.0,0,0,0,2.0,3.0,2,5,2,6.0,26.0,0.0,1
3,6,44.0,1.0,0.129,0,0,0,3.0,1.0,1,17,2,5.0,37.0,2.0,1
2,4,55.0,0.0,0.0,0,0,0,5.0,0.0,5,6,0,5.0,31.0,3.0,1
3,6,35.0,0.0,0.012,0,0,0,3.75,0.0,1,8,2,5.0,21.0,2.0,1
3,1,137.0,0.0,0.0,0,0,0,2.0,1.0,0,3,0,5.0,25.0,3.0,1
3,2,22.0,0.0,0.0,0,0,0,3.25,1.0,1,3,0,4.5,7.0,2.0,1
4,3,24.0,0.0,0.0,0,0,0,3.0,1.0,3,2,0,4.0,19.0,1.0,1
3,4,47.0,0.0,0.0,0,0,0,3.0,0.0,4,5,0,4.5,30.0,1.0,1
3,4,46.0,0.0,0.0,0,0,0,3.0,0.0,2,3,2,5.0,28.0,1.0,1
4,4,27.0,0.0,0.0,0,0,0,4.0,0.0,3,5,0,5.0,16.0,1.0,1
3,3,43.5,0.0,0.013,0,0,0,5.0,0.0,0,8,0,5.0,16.0,1.0,1
3,3,30.0,0.0,0.0,0,0,0,3.0,0.5,4,4,1,5.0,16.0,1.0,1
3,3,33.0,0.0,0.0,0,0,0,3.0,1.0,0,5,0,6.0,11.0,1.0,1
3,4,34.0,0.0,0.0,0,4,0,3.75,0.5,1,10,1,4.0,13.0,0.0,1
